Complexity,Agent_Config,Agent_Count,File,Mission_Success_Rate_Percent,Final_Victims_Rescued,Simulation_Duration_Steps,Total_Events,Event_Types_Summary
EasyMap,FiveAgents,Five,scenario_json_outputs-41ebb6b7-5230-4e78-a40b-014aef6d3296.json,100.0,34,697,1301,ask:693; move:494; communicate:44; load:35; check:1; parsed_response_generic:15; examine:2; search:11; use:1; treat:1; assist:1; unknown:1; pick up:1; go:1
EasyMap,FiveAgents,Five,scenario_json_outputs-bb726202-cae2-4e42-964e-f9cd7fc44cbe.json,100.0,34,793,1418,ask:641; move:656; communicate:54; load:28; assist:2; place:1; search:12; pick up:8; examine:3; treat:2; check:1; parsed_response_generic:8; investigate:1; unknown:1
EasyMap,FiveAgents,Five,scenario_json_outputs-4c79825d-14eb-4a55-b63a-339d9dbb0d6b.json,100.0,34,699,1221,ask:607; move:465; communicate:85; load:29; place:5; parsed_response_generic:16; examine:2; pick up:4; check:1; treat:2; search:3; wait:1; explore:1
EasyMap,FourAgents,Four,scenario_json_outputs-f8b7e39b-5bd6-4d2e-a04f-3e8185808102.json,100.0,34,898,1214,ask:589; parsed_response_generic:5; move:501; communicate:68; load:30; treat:4; search:4; unknown:2; place:3; pick up:5; explore:1; wait:1; examine:1
EasyMap,FourAgents,Four,scenario_json_outputs-66d2bd16-c30e-4a9f-8cca-fd73d3b32be6.json,100.0,34,957,1422,ask:727; parsed_response_generic:15; move:549; communicate:72; load:24; examine:6; search:11; treat:4; place:5; pick up:6; check:1; approach:1; explore:1
EasyMap,FourAgents,Four,scenario_json_outputs-e735550c-2e3b-4a5a-88f5-e2b1236f87e3.json,100.0,34,858,1151,ask:532; move:519; communicate:51; load:29; assess:1; search:1; place:4; check:3; parsed_response_generic:5; examine:1; unknown:2; pick up:3
EasyMap,ThreeAgents,Three,scenario_json_outputs-ebcfcc2c-d997-4da5-86c8-fe170f8e937b.json,100.0,34,1442,1555,ask:681; move:741; communicate:86; load:30; place:5; treat:1; search:5; parsed_response_generic:6
EasyMap,ThreeAgents,Three,scenario_json_outputs-0d8bad43-1dfe-4906-90ce-dd3097efdf79.json,100.0,34,1229,1370,ask:717; move:550; communicate:38; load:30; pick up:1; check:1; search:8; place:4; parsed_response_generic:13; approach:1; examine:3; unknown:2; enter:1; treat:1
EasyMap,ThreeAgents,Three,scenario_json_outputs-8da87733-edf6-453f-9050-66574d6537b3.json,97.06,33,1258,1354,ask:631; move:583; communicate:85; load:35; place:2; drop:1; search:4; parsed_response_generic:8; assist:1; treat:2; examine:2
EasyMap,TwoAgents,Two,scenario_json_outputs-7a1ddb8a-15c1-48f4-b5f1-f3ee45db4896.json,100.0,34,1986,1534,ask:809; move:607; communicate:63; load:30; use:1; check:2; treat:1; approach:1; wait:2; go:1; search:2; examine:4; pick up:3; place:4; leave:1; parsed_response_generic:1; unknown:1; drop:1
EasyMap,TwoAgents,Two,scenario_json_outputs-8cb44bbf-74c2-4a06-9256-a45b618d2734.json,100.0,34,1786,1279,ask:641; move:516; communicate:72; load:30; place:3; start:1; parsed_response_generic:9; search:5; examine:1; treat:1
EasyMap,TwoAgents,Two,scenario_json_outputs-7051f1ec-0d9b-45e4-ad32-f59ec15fb1f3.json,100.0,34,1936,1480,ask:763; move:580; communicate:85; load:29; place:3; treat:3; search:6; unknown:2; approach:1; parsed_response_generic:6; pick up:1; assess:1
HardMap,FiveAgents,Five,scenario_json_outputs-63eefcea-76b8-4be1-a851-b1148d0d6a99.json,100.0,34,1632,2531,ask:1475; move:925; parsed_response_generic:35; communicate:28; load:27; pick up:7; approach:3; examine:5; search:12; check:3; proceed:1; place:6; use:1; treat:1; assist:1; wait:1
HardMap,FiveAgents,Five,scenario_json_outputs-4b23b4a1-312f-45ea-b436-e795544699c9.json,100.0,34,1700,2667,ask:1624; move:944; communicate:25; load:30; pick up:2; check:2; approach:1; place:6; parsed_response_generic:16; search:7; assist:1; wait:1; treat:2; take:1; examine:4; unknown:1
HardMap,FiveAgents,Five,scenario_json_outputs-d305ad53-8f7b-4b5c-9c9e-b233a0d00201.json,100.0,34,1727,2798,ask:1750; parsed_response_generic:22; move:932; communicate:41; load:28; place:6; check:2; search:5; assess:1; examine:2; unknown:3; proceed:2; assist:1; pick up:2; treat:1
